code,code_name,peTTM
sh.603501,韦尔股份,32.31
sh.603883,老百姓,32.46
sz.000739,普洛药业,32.47
sz.300316,晶盛机电,32.65
sz.300413,芒果超媒,32.93
sh.603658,安图生物,33.18
sh.603198,迎驾贡酒,33.55
sh.600859,王府井,33.66
sz.002195,二三四五,33.82
sz.300026,红日药业,33.84
sh.600372,中航电子,34.05
sz.300223,北京君正,34.33
sh.603868,飞科电器,34.48
sz.002901,大博医疗,34.52
sz.002690,美亚光电,34.66
sh.600516,方大炭素,35.09
sz.300832,新产业,35.11
sz.000568,泸州老窖,35.13
sz.002179,中航光电,35.23
sh.601100,恒立液压,35.35
sz.000963,华东医药,35.36
sz.002500,山西证券,35.45
sh.601179,中国西电,35.47
sh.600732,爱旭股份,35.53
sh.600066,宇通客车,35.68
sh.603712,七一二,35.73
sz.002939,长城证券,35.79
sh.603127,昭衍新药,35.81
sz.300347,泰格医药,36.12
sz.002156,通富微电,36.14
sz.002985,北摩高科,36.26
sz.002127,南极电商,36.3
sh.600839,四川长虹,36.37
sz.002007,华兰生物,36.55
sz.002926,华西证券,36.6
sz.002138,顺络电子,36.83
sz.000519,中兵红箭,36.91
sz.002155,湖南黄金,37.09
sz.002459,晶澳科技,37.11
sz.300919,中伟股份,37.54
sh.600765,中航重机,37.65
sz.000538,云南白药,37.67
sh.601456,国联证券,37.83
sz.300257,开山股份,37.99
sh.600563,法拉电子,38.15
sh.600600,青岛啤酒,38.24
sh.603899,晨光股份,38.37
sh.600519,贵州茅台,38.38
sh.601696,中银证券,38.45
sz.002249,大洋电机,38.53
sz.300070,碧水源,38.55
sz.000039,中集集团,38.66
sz.002250,联化科技,38.81
sh.601799,星宇股份,39.0
sh.600315,上海家化,39.28
sz.300408,三环集团,39.4
sz.002180,纳思达,39.49
sh.603806,福斯特,39.6
sh.601865,福莱特,39.6
sz.300699,光威复材,39.72
sz.300750,宁德时代,39.96
sz.002050,三花智控,40.2
sh.603456,九洲药业,40.47
sz.300782,卓胜微,41.34
sh.688122,西部超导,41.44
sz.000547,航天发展,41.44
sh.600556,天下秀,41.71
sz.002352,顺丰控股,41.78
sz.300760,迈瑞医疗,41.88
sh.600056,中国医药,41.89
sz.002683,广东宏大,41.9
sz.002439,启明星辰,42.25
sz.003035,南网能源,42.58
sz.002049,紫光国微,42.58
sz.000301,东方盛虹,42.7
sz.000869,张裕A,42.88
sz.002326,永太科技,43.22
sh.600567,山鹰国际,43.34
sz.300724,捷佳伟创,43.35
sz.000009,中国宝安,43.4
sz.300124,汇川技术,43.45
sz.300207,欣旺达,43.92
sh.603939,益丰药房,44.11
sh.603233,大参林,44.15
sz.300012,华测检测,45.15
sz.002399,海普瑞,45.19
sz.300285,国瓷材料,45.34
sh.600959,江苏有线,45.35
sh.600031,三一重工,45.99
sh.600862,中航高科,46.27
sz.002368,太极股份,46.55
