'111023', 5.4, 341, 95.56, 102.0, 'AAA', 'AAA'
'111019', 5.34, 263, 97.5, 21.0, 'AAA', 'AAA'
'120203', 5.28, 277, 97.7, 92.0, 'AAA', 'AAA'
'111045', 5.28, 228, 102.66, 5000.0, 'AA+', 'AA'
'122905', 5.23, 93, 102.2, 1913.0, 'AA+', 'AA+'
'111018', 5.23, 43, 99.0, 271.0, 'AAA', 'AAA'
'122659', 5.04, 111, 98.5, 54053.0, 'AAA', 'AAA'
'120516', 5.0, 20, 99.96, 6.0, 'AAA', 'AAA'
'120485', 4.88, 313, 100.0, 20.0, 'AAA', 'AAA'
'120102', 4.48, 266, 101.5, 165.0, 'AAA', 'AAA'
'120511', 4.43, 5, 100.49, 50.0, 'AAA', 'AAA'
