secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
603127.XSHG,603127,昭衍新药,XSHG,2018-10-18,42.73,42.73,42.25,42.39,38.58,38.86,989240,39800410,2997,0.023,0.5066410899,1673564190,4468694042,-0.0906,51.5408,99.5712,7.9873,1,40.233
603127.XSHG,603127,昭衍新药,XSHG,2018-10-19,38.86,38.86,38.31,41.19,37.6,40.95,1299802,51434228,3015,0.0302,0.5066410899,1763573175,4709032965,0.0538,54.3128,104.9264,8.4169,1,39.571
603127.XSHG,603127,昭衍新药,XSHG,2018-10-22,40.95,40.95,41.6,44.28,41.4,43.29,1137793,48970186,3257,0.0264,0.5066410899,1864348785,4978120563,0.0571,57.4164,110.9222,8.8979,1,43.04
603127.XSHG,603127,昭衍新药,XSHG,2018-10-23,43.29,43.29,43.77,43.87,42.02,42.34,699427,30057067,2530,0.0162,0.5066410899,1823435610,4868875598,-0.0219,56.1564,108.488,8.7026,1,42.974
603127.XSHG,603127,昭衍新药,XSHG,2018-10-24,42.34,42.34,41.5,42.88,41.0,42.27,617200,25868610,2103,0.0143,0.5066410899,1820420955,4860825969,-0.0017,56.0636,108.3086,8.6882,1,41.913
603127.XSHG,603127,昭衍新药,XSHG,2018-10-25,42.27,42.27,40.5,41.68,40.31,41.2,555186,22766438,1962,0.0129,0.5066410899,1774339800,4737781640,-0.0253,54.6444,105.5669,8.4683,1,41.007
603127.XSHG,603127,昭衍新药,XSHG,2018-10-26,41.2,41.2,41.5,42.21,38.58,39.16,1000135,39823471,3381,0.0232,0.5066410899,1686484140,4503192452,-0.0495,51.9387,100.3398,8.049,1,39.818
603127.XSHG,603127,昭衍新药,XSHG,2018-10-29,39.16,39.16,38.99,39.5,37.75,39.0,606206,23579391,2191,0.0141,0.5066410899,1679593500,4484793300,-0.0041,45.2967,58.7809,7.4968,1,38.897
603127.XSHG,603127,昭衍新药,XSHG,2018-10-30,39.0,39.0,39.0,42.6,38.76,41.83,1333020,54656571,4111,0.031,0.5066410899,1801471695,4810228301,0.0726,48.5837,63.0463,8.0408,1,41.002
603127.XSHG,603127,昭衍新药,XSHG,2018-10-31,41.83,41.83,42.08,45.0,42.08,44.48,1438940,63345301,3841,0.0334,0.5066410899,1915597920,5114964256,0.0634,51.6615,67.0404,8.5502,1,44.022
603127.XSHG,603127,昭衍新药,XSHG,2018-11-01,44.48,44.48,44.74,45.92,43.62,44.91,964361,43475633,3047,0.0224,0.5066410899,1934116515,5164411977,0.0097,52.1609,67.6885,8.6329,1,45.082
603127.XSHG,603127,昭衍新药,XSHG,2018-11-02,44.91,44.91,45.61,46.83,45.09,46.52,1152023,52918941,2919,0.0267,0.5066410899,2003453580,5349553444,0.0358,54.0309,70.1151,8.9424,1,45.936
603127.XSHG,603127,昭衍新药,XSHG,2018-11-05,46.52,46.52,46.6,46.6,44.72,45.7,997665,45573148,2852,0.0232,0.5066410899,1968139050,5255257790,-0.0176,53.0785,68.8792,8.7848,1,45.68
603127.XSHG,603127,昭衍新药,XSHG,2018-11-06,45.7,45.7,45.34,45.72,44.51,45.2,916425,41334737,2431,0.0213,0.5066410899,1946605800,5197760440,-0.0109,52.4978,68.1256,8.6886,1,45.104
603127.XSHG,603127,昭衍新药,XSHG,2018-11-07,45.2,45.2,45.23,45.66,44.6,44.61,1016373,45992759,2473,0.0236,0.5066410899,1921196565,5129913567,-0.0131,51.8125,67.2364,8.5752,1,45.252
603127.XSHG,603127,昭衍新药,XSHG,2018-11-08,44.61,44.61,45.26,46.59,45.18,45.5,1600081,73500551,2614,0.0372,0.5066410899,1959525750,5232258850,0.02,52.8462,68.5778,8.7463,1,45.936
603127.XSHG,603127,昭衍新药,XSHG,2018-11-09,45.5,45.5,45.95,47.38,45.04,45.43,1255741,58208103,3368,0.0292,0.5066410899,1956511095,5224209221,-0.0015,52.7649,68.4723,8.7329,1,46.354
